local_id,local_zh,local_en,aliases_zh,aliases_en,exercise_type,movement_pattern,load_type,primary_muscles,coverage_status,strict_remote_matches,alias_remote_matches,fuzzy_candidates
incline_dumbbell_bench_press,上斜哑铃卧推,Incline Dumbbell Bench Press,上斜卧推|上胸哑铃卧推,incline dumbbell press,strength,horizontal_push,external_weight,chest|front-deltoids,strict_display_match,斜面哑铃卧推 / Incline Dumbbell Bench Press [CHEST; DUMBBELL],,148:斜面哑铃卧推 / Incline Dumbbell Bench Press [CHEST; DUMBBELL]|129:哑铃卧推 / Dumbbell Bench Press [CHEST; DUMBBELL]|118:窄握上斜哑铃卧推 / Close Grip Incline Dumbbell Bench Press [TRICEPS; DUMBBELL]|83:低位滑轮上斜卧推 / Low Cable Incline Bench Press [CHEST; MACHINE]|83:单臂哑铃上斜卧推 / One-Arm Dumbbell Incline Bench Press [CHEST; DUMBBELL]|83:史密斯机上斜卧推 / Smith Incline Chest Press [CHEST; MACHINE]|59:哑铃中立握姿上斜卧推划船 / Dumbbell Neutral Grip Incline Bench Row [BACK; DUMBBELL]|59:上斜卧推绳索飞鸟 / Incline Bench Cable Fly [CHEST; MACHINE]
machine_chest_press,器械胸推,Machine Chest Press,坐姿胸推|固定器械胸推,chest press|machine chest press,strength,horizontal_push,machine,chest|triceps,strict_display_match,器械卧推 / Machine Chest Press [CHEST; MACHINE]|器械胸部推举 / Machine Chest Press [CHEST; MACHINE],,307:器械卧推 / Machine Chest Press [CHEST; MACHINE]|307:器械胸部推举 / Machine Chest Press [CHEST; MACHINE]|212:器械胸推锤式握法 / Machine Chest Press Hammer Grip [CHEST; MACHINE]|107:站立式下胸部位绳索推胸 / Standing Cable Low Chest Press [CHEST; MACHINE]|107:站立式钢索胸部推举 / Standing Cable Chest Press [CHEST; MACHINE]|107:弹力带卧推 / Band Bench Chest Press [CHEST; BAND]|107:下斜拉索胸部推举 / Decline Cable Chest Press [CHEST; MACHINE]|107:下斜卧推 / Decline Chest Press [CHEST; MACHINE]
push_up,俯卧撑,Push-up,伏地挺身,push up|pushup,strength,horizontal_push,bodyweight,chest|triceps,strict_display_match,俯卧撑 / Push-Up [CHEST; BODYWEIGHT]|俯卧撑 / Pike Push-Up [SHOULDERS; BODYWEIGHT],,460:俯卧撑 / Push-Up [CHEST; BODYWEIGHT]|265:俯卧撑 / Pike Push-Up [SHOULDERS; BODYWEIGHT]|153:反向腕屈俯卧撑 / Reverse Wrist Push-Up [CHEST; BODYWEIGHT]|153:钻石俯卧撑 / Diamond Push-Up [TRICEPS; BODYWEIGHT]|153:超人俯卧撑 / Superman Push-Up [CHEST; BODYWEIGHT]|153:交叉臂俯卧撑 / Cross Arms Push-Up [TRICEPS; BODYWEIGHT]|153:拳面俯卧撑 / Knuckle Push-Up [CHEST; BODYWEIGHT]|153:开合俯卧撑 / Jack Push-Up [CHEST; BODYWEIGHT]
dumbbell_shoulder_press,哑铃肩推,Dumbbell Shoulder Press,哑铃推举|坐姿哑铃肩推,dumbbell overhead press,strength,vertical_push,external_weight,front-deltoids|triceps,alias_match_review,,哑铃推举 / Dumbbell Push Press [SHOULDERS; DUMBBELL],136:哑铃推举 / Dumbbell Push Press [SHOULDERS; DUMBBELL]|106:站姿哑铃肩推 / Standing Dumbbell Shoulder Press [SHOULDERS; DUMBBELL]|106:坐姿哑铃推举 / Seated Dumbbell Shoulder Press [SHOULDERS; DUMBBELL]|71:单臂哑铃肩推 / One-Arm Shoulder Press Dumbbell [SHOULDERS; DUMBBELL]|71:半跪姿肩部哑铃推举 / Half Kneeling Shoulder Dumbbell Press [SHOULDERS; DUMBBELL]|59:坐姿阿诺德哑铃推举 / Seated Arnold Dumbbell Press [SHOULDERS; DUMBBELL]|36:杠铃颈后肩推举 / Barbell Behind Neck Shoulder Press [SHOULDERS; BARBELL]|36:弹力带肩推举 / Band Shoulder Press [SHOULDERS; BAND]
machine_shoulder_press,器械肩推,Machine Shoulder Press,固定器械肩推,shoulder press machine,strength,vertical_push,machine,front-deltoids|triceps,strict_display_match,器械肩推举 / Machine Shoulder Press [SHOULDERS; MACHINE],,183:器械肩推举 / Machine Shoulder Press [SHOULDERS; MACHINE]|48:杠铃颈后肩推举 / Barbell Behind Neck Shoulder Press [SHOULDERS; BARBELL]|48:弹力带肩推举 / Band Shoulder Press [SHOULDERS; BAND]|48:单臂哑铃肩推 / One-Arm Shoulder Press Dumbbell [SHOULDERS; DUMBBELL]|48:杠杆坐姿锤式握肩推举 / Lever Seated Hammer Grip Shoulder Press [SHOULDERS; MACHINE]|48:站姿哑铃肩推 / Standing Dumbbell Shoulder Press [SHOULDERS; DUMBBELL]|48:坐姿哑铃推举 / Seated Dumbbell Shoulder Press [SHOULDERS; DUMBBELL]|48:单臂地雷杠站姿肩推 / One-Arm Landmine Standing Shoulder Press [SHOULDERS; BARBELL]
landmine_press,地雷管推举,Landmine Press,地雷管肩推,landmine shoulder press,strength,vertical_push,external_weight,front-deltoids|triceps,strict_display_match,地雷杠铃推举 / Landmine Press [SHOULDERS; BARBELL],,148:地雷杠铃推举 / Landmine Press [SHOULDERS; BARBELL]|60:单臂地雷杠站姿肩推 / One-Arm Landmine Standing Shoulder Press [SHOULDERS; BARBELL]|60:单臂地雷半跪姿肩推 / One-Arm Landmine Half Kneeling Shoulder Press [SHOULDERS; BARBELL]|36:杠铃颈后肩推举 / Barbell Behind Neck Shoulder Press [SHOULDERS; BARBELL]|36:弹力带肩推举 / Band Shoulder Press [SHOULDERS; BAND]|36:单臂哑铃肩推 / One-Arm Shoulder Press Dumbbell [SHOULDERS; DUMBBELL]|36:杠杆坐姿锤式握肩推举 / Lever Seated Hammer Grip Shoulder Press [SHOULDERS; MACHINE]|36:站姿哑铃肩推 / Standing Dumbbell Shoulder Press [SHOULDERS; DUMBBELL]
seated_cable_row,坐姿绳索划船,Seated Cable Row,绳索划船|坐姿划船|划船,cable row|seated row,strength,horizontal_pull,machine,upper-back|biceps,strict_display_match,坐姿划船 / Seated Cable Row [BACK; MACHINE],,283:坐姿划船 / Seated Cable Row [BACK; MACHINE]|141:坐姿绳索划船中立握姿 / Cable Seated Row Neutral Grip [BACK; MACHINE]|106:单臂低位拉索坐姿划船 / One-Arm Low Cable Seated Row [BACK; MACHINE]|106:单臂坐姿划船 / One-Arm Seated Row [BACK; MACHINE]|71:单臂拉力器划船 / One-Arm Cable Row [BACK; MACHINE]|71:坐姿下拉绳索划船中立握姿 / Seated Cable Low Row Neutral Grip [BACK; MACHINE]|36:单臂哑铃俯身肩胛骨划船 / One-Arm Dumbbell Bent Over Scapula Row [BACK; DUMBBELL]|36:杠铃划船 / Barbell Bent Over Row [BACK; BARBELL]
machine_row,器械划船,Machine Row,划船|固定器械划船,machine row,strength,horizontal_pull,machine,upper-back|biceps,candidate_review,,,129:胸部支撑器械划船 / Chest Supported Machine Row [BACK; MACHINE]|24:单臂哑铃俯身肩胛骨划船 / One-Arm Dumbbell Bent Over Scapula Row [BACK; DUMBBELL]|24:杠铃划船 / Barbell Bent Over Row [BACK; BARBELL]|24:单臂下拉绳低位划船 / One-Arm Cable Low Row [BACK; MACHINE]|24:坐姿绳索宽握划船 / Seated Cable Wide Grip Row [BACK; MACHINE]|24:坐姿划船 / Seated Cable Row [BACK; MACHINE]|24:悬挂划船 / Suspension Row [BACK; BODYWEIGHT]|24:杠铃俯身划船（从支架开始） / Barbell Bent Over Row From Pin [BACK; BARBELL]
one_arm_dumbbell_row,单臂哑铃划船,One-arm Dumbbell Row,哑铃单臂划船,one arm dumbbell row,strength,horizontal_pull,external_weight,upper-back|biceps,strict_display_match,单臂哑铃划船 / Dumbbell Bent Over Row [BACK; DUMBBELL],,136:单臂哑铃划船 / Dumbbell Bent Over Row [BACK; DUMBBELL]|24:单臂哑铃俯身肩胛骨划船 / One-Arm Dumbbell Bent Over Scapula Row [BACK; DUMBBELL]|24:杠铃划船 / Barbell Bent Over Row [BACK; BARBELL]|24:单臂下拉绳低位划船 / One-Arm Cable Low Row [BACK; MACHINE]|24:坐姿绳索宽握划船 / Seated Cable Wide Grip Row [BACK; MACHINE]|24:坐姿划船 / Seated Cable Row [BACK; MACHINE]|24:悬挂划船 / Suspension Row [BACK; BODYWEIGHT]|24:杠铃俯身划船（从支架开始） / Barbell Bent Over Row From Pin [BACK; BARBELL]
lat_pulldown,高位下拉,Lat Pulldown,背阔肌下拉|坐姿下拉,lat pull down|lat pulldown,strength,vertical_pull,machine,upper-back|biceps,candidate_review,,,200:单臂背阔肌下拉 / One-Arm Lat Pulldown [BACK; MACHINE]|200:绳索直臂背阔肌下拉 / Rope Straight-Arm Lat Pulldown [BACK; MACHINE]|200:弹力带俯身背阔肌下拉 / Band Bent Over Lat Pulldown [BACK; BAND]|200:单臂钢索半跪姿背阔肌下拉 / One-Arm Cable Half-Kneeling Lat Pulldown [BACK; MACHINE]|200:单臂弹力带跪姿背阔肌下拉 / One-Arm Band Kneeling Lat Pulldown [BACK; BAND]|200:绳索窄握背阔肌下拉 / Cable Close Grip Lat Pulldown [BACK; MACHINE]|200:坐姿下拉机 / Lat Pulldown Machine [BACK; MACHINE]|200:直臂背阔肌下拉 / Straight-Arm Lat Pulldown [BACK; MACHINE]
assisted_pull_up,辅助引体向上,Assisted Pull-up,辅助引体,assisted pull up,strength,vertical_pull,assisted_bodyweight,upper-back|biceps,strict_display_match,辅助引体向上 / Assisted Pull-Up [BACK; ASSISTED_WEIGHT],,419:辅助引体向上 / Assisted Pull-Up [BACK; ASSISTED_WEIGHT]|212:弹力带辅助引体向上 / Band Assisted Pull Up [BACK; BAND]|153:引体向上 / Pull-Up [BACK; BODYWEIGHT]|59:引体向上 / Chin-Up [BACK; BODYWEIGHT]|48:负重引体向上 / Weighted Pull-Up [BACK; BODYWEIGHT]|48:窄握引体向上 / Close Grip Pull Up [BACK; BODYWEIGHT]|48:宽握背部引体向上 / Wide Grip Rear Pull-Up [BACK; BODYWEIGHT]|48:宽握引体向上 / Pull-Up Wide Grip [BACK; BODYWEIGHT]
pull_up,引体向上,Pull-up,正手引体,pull up|pullup,strength,vertical_pull,bodyweight,upper-back|biceps,strict_display_match,引体向上 / Pull-Up [BACK; BODYWEIGHT]|引体向上 / Chin-Up [BACK; BODYWEIGHT],,460:引体向上 / Pull-Up [BACK; BODYWEIGHT]|188:负重引体向上 / Weighted Pull-Up [BACK; BODYWEIGHT]|188:窄握引体向上 / Close Grip Pull Up [BACK; BODYWEIGHT]|188:宽握背部引体向上 / Wide Grip Rear Pull-Up [BACK; BODYWEIGHT]|188:宽握引体向上 / Pull-Up Wide Grip [BACK; BODYWEIGHT]|188:正面水平悬垂引体向上 / Front Lever Pull-Up [BACK; BODYWEIGHT]|188:L型引体向上 / L Pull-Up [BACK; BODYWEIGHT]|188:反握澳式引体向上 / Australian Pull-Up Underhand Grip [BACK; BODYWEIGHT]
reverse_lunge,反向弓步,Reverse Lunge,后撤弓步,reverse lunge,strength,lunge,bodyweight,quadriceps|glutes,candidate_review,,,153:哑铃台阶反向弓步 / Dumbbell Reverse Lunge off Step [GLUTEUS; DUMBBELL]|129:杠铃反向弓步蹲 / Barbell Reverse Lunges [LEGS; BARBELL]|24:反向腕屈俯卧撑 / Reverse Wrist Push-Up [CHEST; BODYWEIGHT]|24:反握下拉绳三头肌推压 / Triceps Cable Pushdown Reverse Grip [TRICEPS; MACHINE]|24:EZ杠坐姿反向腕弯举 / EZ-Bar Seated Reverse Wrist Curl [FOREARMS; BARBELL]|24:弓步拉伸 / Lunge Stretch [LEGS; UNWEIGHTED]|24:杠铃台阶后弓步 / Barbell Rear Lunge On Step [GLUTEUS; BARBELL]|24:器械反向飞鸟 / Machine Reverse Flyes [SHOULDERS; MACHINE]
walking_lunge,行走弓步,Walking Lunge,箭步走,walking lunge,strength,lunge,bodyweight,quadriceps|glutes,candidate_review,,,129:保加利亚包行走弓步 / Bulgarian Bag Walking Lunges [LEGS; WEIGHTED]|129:行走弓步蹲 / Walking Lunges [LEGS; BODYWEIGHT]|94:哑铃箭步蹲 / Barbell Walking Lunges [LEGS; BARBELL]|94:哑铃箭步蹲 / Dumbbell Walking Lunges [LEGS; DUMBBELL]|24:哑铃台阶反向弓步 / Dumbbell Reverse Lunge off Step [GLUTEUS; DUMBBELL]|24:弓步拉伸 / Lunge Stretch [LEGS; UNWEIGHTED]|24:杠铃台阶后弓步 / Barbell Rear Lunge On Step [GLUTEUS; BARBELL]|24:壶铃后弓步 / Kettlebell Rear Lunge [LEGS; WEIGHTED]
bulgarian_split_squat,保加利亚分腿蹲,Bulgarian Split Squat,保加利亚蹲,bulgarian split squat,strength,lunge,bodyweight,quadriceps|glutes,candidate_review,,,118:分腿蹲 / Split Squat [LEGS; BODYWEIGHT]|94:深蹲 / Squat [LEGS; BODYWEIGHT]|48:哑铃分腿蹲 / Dumbbell Split Squat [LEGS; DUMBBELL]|48:前脚抬高分腿蹲 / Split Squat Front Foot Elevated [LEGS; BODYWEIGHT]|48:前脚抬高分腿蹲 / Split Squat Front Foot Elevated [GLUTEUS; BARBELL]|48:史密斯机保加利亚深蹲 / Bulgarian Squat Smith [LEGS; MACHINE]|48:史密斯机分腿蹲 / Smith Split Squat [LEGS; MACHINE]|48:杠铃分腿蹲 / Barbell Split Squat [LEGS; BARBELL]
plank,平板支撑,Plank,俯撑|平板撑,plank,strength,core,bodyweight,abs,strict_display_match,平板支撑 / Plank [ABS; BODYWEIGHT],,336:平板支撑 / Plank [ABS; BODYWEIGHT]|129:负重平板支撑 / Weighted Plank [ABS; WEIGHTED]|129:瑞士球平板支撑 / Swiss Ball Plank [ABS; BODYWEIGHT]|129:锯式平板支撑 / Saw Plank [ABS; BODYWEIGHT]|129:熊式平板支撑 / Bear Plank [ABS; BODYWEIGHT]|129:鸟狗平板支撑 / Bird Dog Plank [SHOULDERS; BODYWEIGHT]|94:侧板式髋外展 / Side Plank Hip Abduction [GLUTEUS; BODYWEIGHT]|94:侧支撑 / Side Plank [ABS; BODYWEIGHT]
dead_bug,死虫,Dead Bug,死虫式,dead bug,strength,core,none,abs,strict_display_match,仰卧交替抬腿腹部练习 / Dead Bug [ABS; BODYWEIGHT],,248:仰卧交替抬腿腹部练习 / Dead Bug [ABS; BODYWEIGHT]|118:负重仰卧交替抬腿 / Weighted Dead Bug [ABS; WEIGHTED]|118:健身球仰卧抬腿 / Dead Bug with Ball [ABS; WEIGHTED]|24:悬垂 / Dead Hang [FOREARMS; BODYWEIGHT]
crunch,卷腹,Crunch,仰卧卷腹,abdominal crunch,strength,core,bodyweight,abs,alias_match_review,,仰卧卷腹 / Abdominal Crunches [ABS; BODYWEIGHT],194:仰卧卷腹 / Abdominal Crunches [ABS; BODYWEIGHT]|94:器械仰卧卷腹 / Machine Lying Crunch [ABS; UNWEIGHTED]|82:器械腹部卷曲 / Machine Abdominal Crunches [ABS; MACHINE]|70:负重仰卧卷腹 / Weighted Ab Crunches [ABS; WEIGHTED]|59:屈膝卷腹 / Knee Tuck Crunch [ABS; BODYWEIGHT]|59:负重下斜卷腹 / Weighted Decline Crunch [ABS; BODYWEIGHT]|59:负重直臂卷腹 / Weighted Straight Arm Crunch [ABS; WEIGHTED]|59:绳索跪姿侧向卷腹 / Cable Kneeling Side Crunch [ABS; MACHINE]
pallof_press,Pallof Press,Pallof Press,抗旋转推|绳索抗旋转,pallof press,strength,core,machine,obliques|abs,candidate_review,,,212:弹力带帕洛夫抗旋转推举 / Band Pallof Press [ABS; BAND]|177:低位滑轮水平帕洛夫推举 / Low Cable Horizontal Pallof Press [ABS; MACHINE]|177:钢索水平帕洛夫推举 / Cable Horizontal Pallof Press [ABS; MACHINE]|36:杠铃颈后肩推举 / Barbell Behind Neck Shoulder Press [SHOULDERS; BARBELL]|36:哑铃推举 / Dumbbell Push Press [SHOULDERS; DUMBBELL]|36:弹力带肩推举 / Band Shoulder Press [SHOULDERS; BAND]|36:杠铃地板卧推 / Barbell Floor Press [CHEST; BARBELL]|36:窄距45度腿举 / Narrow Stance 45 Degree Leg Press [LEGS; MACHINE]
farmer_carry,农夫行走,Farmer Carry,农夫走|双手农夫行走,farmer walk|farmer carry,strength,carry,external_weight,forearms|abs,strict_display_match,农夫行走 / Farmer Walk [FOREARMS; DUMBBELL],,295:农夫行走 / Farmer Walk [FOREARMS; DUMBBELL]|165:哑铃农夫行走 / Dumbbell Farmer Carry [FOREARMS; DUMBBELL]|118:单侧农夫行走 / Unilateral Farmer Walk [FOREARMS; DUMBBELL]|118:单侧农夫行走 / Unilateral Farmer Walk [FOREARMS; DUMBBELL]
suitcase_carry,单侧农夫行走,Suitcase Carry,单手农夫行走,suitcase carry,strength,carry,external_weight,obliques|forearms,strict_display_match,单侧农夫行走 / Unilateral Farmer Walk [FOREARMS; DUMBBELL]|单侧农夫行走 / Unilateral Farmer Walk [FOREARMS; DUMBBELL],,112:单侧农夫行走 / Unilateral Farmer Walk [FOREARMS; DUMBBELL]|112:单侧农夫行走 / Unilateral Farmer Walk [FOREARMS; DUMBBELL]|70:农夫行走 / Farmer Walk [FOREARMS; DUMBBELL]|24:哑铃农夫行走 / Dumbbell Farmer Carry [FOREARMS; DUMBBELL]
band_external_rotation,弹力带肩外旋,Band External Rotation,肩外旋|弹力带外旋,band external rotation,other,mobility,none,back-deltoids,candidate_review,,,48:坐姿肩外旋 / Seated Shoulder External Rotation [SHOULDERS; DUMBBELL]|24:弹力带肱二头肌弯举 / Band Biceps Curl [BICEPS; BAND]|24:弹力带肩推举 / Band Shoulder Press [SHOULDERS; BAND]|24:跪姿弹力带臀部后踢 / Kneeling Resistance Band Glute Kickback [GLUTEUS; BAND]|24:弹力带站姿侧弯 / Band Standing Side Bend [ABS; BAND]|24:弹力带站姿扭转卷腹 / Band Standing Twisting Crunches [ABS; BAND]|24:迷你弹力带臀桥 / Mini Band Glute Bridge [GLUTEUS; BODYWEIGHT]|24:弹力带帕洛夫抗旋转推举 / Band Pallof Press [ABS; BAND]
scapular_push_up,肩胛俯卧撑,Scapular Push-up,肩胛撑,scapular pushup,other,mobility,bodyweight,upper-back,candidate_review,,,94:俯卧撑 / Push-Up [CHEST; BODYWEIGHT]|24:反向腕屈俯卧撑 / Reverse Wrist Push-Up [CHEST; BODYWEIGHT]|24:钻石俯卧撑 / Diamond Push-Up [TRICEPS; BODYWEIGHT]|24:超人俯卧撑 / Superman Push-Up [CHEST; BODYWEIGHT]|24:交叉臂俯卧撑 / Cross Arms Push-Up [TRICEPS; BODYWEIGHT]|24:拳面俯卧撑 / Knuckle Push-Up [CHEST; BODYWEIGHT]|24:开合俯卧撑 / Jack Push-Up [CHEST; BODYWEIGHT]|24:跪姿窄距俯卧撑 / Knee Close Grip Push-Up [TRICEPS; BODYWEIGHT]
cat_cow,猫牛式,Cat-cow,猫牛伸展,cat cow,flexibility,mobility,none,lower-back|upper-back,strict_display_match,猫牛式 / Cat Cow [ABS; UNWEIGHTED],,360:猫牛式 / Cat Cow [ABS; UNWEIGHTED]
